SDPA-GMP start at Tue Jun 11 20:45:44 2024
data      is input_sdpa.dat
parameter is ./param.sdpa
out       is output_sdpa.dat
DENSE computation
   mu      thetaP  thetaD  objP      objD      alphaP  alphaD  beta 
51 6.4e-42 5.0e-159 9.9e-160 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
52 6.4e-43 5.0e-159 4.0e-160 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
53 6.4e-44 5.0e-159 1.3e-160 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
54 6.4e-45 5.0e-159 3.3e-161 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
55 6.4e-46 5.0e-159 1.7e-161 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
56 6.4e-47 5.0e-159 3.0e-162 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
57 6.4e-48 5.0e-159 1.7e-162 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
58 6.4e-49 5.0e-159 3.7e-163 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
59 6.4e-50 5.0e-159 1.9e-163 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
60 6.4e-51 5.0e-159 4.5e-164 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
61 6.4e-52 5.0e-159 1.8e-164 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
62 6.4e-53 5.0e-159 3.1e-165 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
63 6.4e-54 5.0e-159 1.2e-164 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
64 6.4e-55 5.0e-159 1.6e-163 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
65 6.4e-56 5.0e-159 1.6e-162 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
66 6.4e-57 5.0e-159 1.2e-161 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
67 6.4e-58 5.0e-159 1.4e-160 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
68 6.4e-59 5.0e-159 9.6e-160 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
69 6.4e-60 5.0e-159 1.2e-161 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
70 6.4e-61 5.0e-159 7.8e-160 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
71 6.4e-62 5.0e-159 2.5e-160 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
72 6.4e-63 5.0e-159 1.6e-161 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
73 6.4e-64 5.0e-159 2.6e-162 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
74 6.4e-65 5.0e-159 1.9e-163 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
75 6.4e-66 5.0e-159 1.9e-164 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
76 6.4e-67 5.0e-159 5.2e-165 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
77 6.4e-68 5.0e-159 2.3e-164 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
78 6.4e-69 5.0e-159 6.6e-164 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
79 6.4e-70 5.0e-159 2.4e-163 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
80 6.4e-71 5.0e-159 7.1e-163 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
81 6.4e-72 5.0e-159 1.7e-162 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
82 6.4e-73 5.0e-159 6.3e-162 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
83 6.4e-74 5.0e-159 1.4e-161 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
84 6.4e-75 5.0e-159 7.5e-161 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
85 6.4e-76 5.0e-159 1.8e-160 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
86 6.4e-77 5.0e-159 7.1e-160 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
87 6.4e-78 5.0e-159 2.7e-159 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
88 6.4e-79 5.0e-159 3.1e-159 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
89 6.4e-80 5.0e-159 1.8e-159 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
90 6.4e-81 5.0e-159 6.0e-160 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
91 6.4e-82 5.0e-159 1.2e-160 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
92 6.4e-83 5.0e-159 6.8e-161 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
93 6.4e-84 5.0e-159 1.9e-161 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
94 6.4e-85 5.0e-159 9.1e-162 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
95 6.4e-86 5.0e-159 2.0e-162 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
96 6.4e-87 5.0e-159 9.7e-163 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
97 6.4e-88 5.0e-159 2.1e-163 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
98 6.4e-89 5.0e-159 9.8e-164 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
99 6.4e-90 5.0e-159 2.0e-164 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
100 6.4e-91 5.0e-159 7.2e-165 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
101 6.4e-92 5.0e-159 2.9e-165 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
102 6.4e-93 5.0e-159 4.1e-164 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
103 6.4e-94 5.0e-159 4.6e-163 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
104 6.4e-95 5.0e-159 4.6e-162 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
105 6.4e-96 5.0e-159 5.2e-161 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
106 6.4e-97 5.0e-159 4.8e-160 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
107 6.4e-98 5.0e-159 1.6e-159 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
108 6.4e-99 5.0e-159 1.5e-159 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
109 6.4e-100 5.0e-159 6.2e-160 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
110 6.4e-101 5.0e-159 6.1e-161 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
111 6.4e-102 5.0e-159 6.1e-162 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01

phase.value = pdOPT     
   Iteration = 111
          mu = 6.4162884250775241e-102
relative gap = 5.1330307400620193e-101
         gap = 5.1330307400620193e-101
      digits = 9.0154707584117801e+01
objValPrimal = 7.3296198272201257e-11
objValDual   = 7.3296198272201257e-11
p.feas.error = 4.9842513856741765e-155
d.feas.error = 1.2200480204620328e-157
relative eps = 7.4583407312002067e-155
total time   = 0.110


Parameters are
** Parameters **
maxIteration =    200
epsilonStar  = 1.000e-100
lambdaStar   = 1.000e+04
omegaStar    = 2.000e+00
lowerBound   = -1.000e+05
upperBound   = 1.000e+05
betaStar     = 1.000e-01
betaBar      = 3.000e-01
gammaStar    = 9.000e-01
epsilonDash  = 1.000e-100
precision    =    500
xPrint       = %+50.40Fe 
XPrint       = %+50.40Fe 
YPrint       = %+50.40Fe 
infPrint     = %+50.40Fe 

                         Time(sec)  Ratio(% : MainLoop) 
 Predictor time  =       0.010000,  9.090909
 Corrector time  =       0.020000,  18.181818
 Make bMat time  =       0.000000,  0.000000
 Make bDia time  =       0.000000,  0.000000
 Make bF1  time  =       0.000000,  0.000000
 Make bF2  time  =       0.000000,  0.000000
 Make bF3  time  =       0.000000,  0.000000
 Make bPRE time  =       0.000000,  0.000000
 Make rMat time  =       0.020000,  18.181818
 Make gVec Mul   =       0.000000,  0.000000
 Make gVec time  =       0.000000,  0.000000
 Cholesky bMat   =       0.000000,  0.000000
 Ste Pre time    =       0.000000,  0.000000
 Ste Cor time    =       0.060000,  54.545455
 solve           =       0.000000,  0.000000
 sumDz           =       0.000000,  0.000000
 makedX          =       0.010000,  9.090909
 symmetriseDx    =       0.000000,  0.000000
 makedXdZ        =       0.010000,  9.090909
 xMatTime        =       0.000000,  0.000000
 zMatTime        =       0.010000,  9.090909
 invzMatTime     =       0.000000,  0.000000
 xMatzMatTime    =       0.000000,  0.000000
 EigxMatTime     =       0.040000,  36.363636
 EigzMatTime     =       0.020000,  18.181818
 EigxMatzMatTime =       0.000000,  0.000000
 updateRes       =       0.000000,  0.000000
 EigTime         =       0.060000,  54.545455
 sub_total_bMat  =       0.110000,  100.000000
 Main Loop       =       0.110000,  100.000000
 File Check      =       0.000000,  0.000000
 File Change     =       0.000000,  0.000000
 File Read       =       0.000000,  0.000000
 Total           =       0.110000,  100.000000

xVec = 
{   +1.3923305606131869684786643598712941670482e-11,   +8.2109661415174125796338128472545351246375e-11,   +3.7782339874187304811874779466672882401750e-11,   +1.2777089648909214615676035706567299156555e-11,   -1.5216285639734311924695184579638406733398e-11,   -1.5232434031351728604794951354488049168588e-12,   +2.4824898695566567344503706304003413481822e-12,   -2.8452932625214137734470371483600916655628e-11,   +1.2136983249380477072506022872194771815885e-11,   +7.4953017156237643767355516980389792713335e-12}
xMat = 
{
{ {   +1.3923305606131869684786643598712941670482e-11,   -1.5216285639734311924695184579638406733398e-11,   -1.5232434031351728604794951354488049168588e-12,   +2.4824898695566567344503706304003413481822e-12 },
  {   -1.5216285639734311924695184579638406733398e-11,   +8.2109661415174125796338128472545351246375e-11,   -2.8452932625214137734470371483600916655628e-11,   +1.2136983249380477072506022872194771815885e-11 },
  {   -1.5232434031351728604794951354488049168588e-12,   -2.8452932625214137734470371483600916655628e-11,   +3.7782339874187304811874779466672882401750e-11,   +7.4953017156237643767355516980389792713335e-12 },
  {   +2.4824898695566567344503706304003413481822e-12,   +1.2136983249380477072506022872194771815885e-11,   +7.4953017156237643767355516980389792713335e-12,   +1.2777089648909214615676035706567299156555e-11 }   }
{ {   +4.1364619921282442449180726003008091406386e-11,   +2.6265264729960023166117692337702990703525e-11,   +3.1677702344919667397817841535475083597501e-11,   -5.1569041371628777701356983057275215733408e-11 },
  {   +2.6265264729960023166117692337702990703525e-11,   +1.6677637378216090194505576509040494982225e-11,   +2.0114369229296545645732970552158389112981e-11,   -3.2744759315416848178736559501912138433573e-11 },
  {   +3.1677702344919667397817841535475083597501e-11,   +2.0114369229296545645732970552158389112981e-11,   +2.4259302460966933386982673839081450344978e-11,   -3.9492415157979228035780694207270530545735e-11 },
  {   -5.1569041371628777701356983057275215733408e-11,   -3.2744759315416848178736559501912138433573e-11,   -3.9492415157979228035780694207270530545735e-11,   +6.4290836783937048878006610893368437741574e-11 }   }
}
yMat = 
{
{ {   +1.4108719448062638752372902098882254024152e-01,   +8.9586040439704293167931545686577431871128e-02,   +1.0804688064201392921744072565282660790100e-01,   -1.7589261990136244326411729916486191234888e-01 },
  {   +8.9586040439704293167931545686577431871128e-02,   +5.6884387496743292776155446977593331550588e-02,   +6.8606454712008024882007931829851131062585e-02,   -1.1168641787467650994157384160984139880984e-01 },
  {   +1.0804688064201392921744072565282660790100e-01,   +6.8606454712008024882007931829851131062585e-02,   +8.2744068017261877424525217915704101590915e-02,   -1.3470144458009819845398597101797416983824e-01 },
  {   -1.7589261990136244326411729916486191234888e-01,   -1.1168641787467650994157384160984139880984e-01,   -1.3470144458009819845398597101797416983824e-01,   +2.1928435000536844227559031411788002661697e-01 }   }
{ {   +3.5891280551937361247627097901117745975848e-01,   -8.9586040439704293167931545686577431871128e-02,   -1.0804688064201392921744072565282660790100e-01,   +1.7589261990136244326411729916486191234888e-01 },
  {   -8.9586040439704293167931545686577431871128e-02,   +4.4311561250325670722384455302240666844941e-01,   -6.8606454712008024882007931829851131062585e-02,   +1.1168641787467650994157384160984139880984e-01 },
  {   -1.0804688064201392921744072565282660790100e-01,   -6.8606454712008024882007931829851131062585e-02,   +4.1725593198273812257547478208429589840909e-01,   +1.3470144458009819845398597101797416983824e-01 },
  {   +1.7589261990136244326411729916486191234888e-01,   +1.1168641787467650994157384160984139880984e-01,   +1.3470144458009819845398597101797416983824e-01,   +2.8071564999463155772440968588211997338303e-01 }   }
}
    main loop time = 0.110000
        total time = 0.110000
  file   read time = 0.000000
