SDPA-GMP start at Mon May 26 13:39:28 2025
data      is input_sdpa.dat
parameter is ./param.sdpa
out       is output_sdpa2.dat
DENSE computation
   mu      thetaP  thetaD  objP      objD      alphaP  alphaD  beta 
{   +9.7410534328409777354112305062043649360136e-19,   +8.6214633425519579523590443614329931349582e-19,   +1.6244029807281531951019329009523401424304e-18,   +2.8408702524499915888106646791340520201326e-18,   +9.1641767272940781261305417796576076556971e-19,   -1.2579108168602054469057816715118501546245e-18,   -1.6635224352224350330316708103424198047478e-18,   -1.1834158504887412307174797510996687864979e-18,   -1.5650066690734557089783731868389667886618e-18,   +2.1481894948867307476563292048443449849637e-18,   +2.7121614649563596560648545835932820075403e-70,   +6.4289621745678062936861875810695452136949e-70,   +7.5877275398918075083459312327350927907579e-70,   +8.4189760077995203982800421314686468175767e-70,   +4.9189426159144244600694971950522307391420e-70,   +5.5733682090225797574907908422546526773489e-70,   +4.3266144477875286306320393875123482050540e-69,   +6.2172003130822183517077523069639542005571e-70,   +5.8832897694403314088458788670705957008938e-70,   +1.5450120082655887011143720499866942210590e-69,   +2.4318394818365273809802762030589798853542e-70,   +5.7618855150672495808394636452654981405217e-70,   +4.2517083287642817747119437201370192278328e-70,   +5.8719515320235579744351732140723831333321e-70,   +1.8787391882522213265305198486709523981929e-69,   +3.5131486654022846865886397861923900519470e-70,   +3.3226357193959994356175731240747848494999e-70,   +1.6860232969739886872416934709290696702314e-01,   +5.4152321475196628865301592426589625270724e-70,   +3.5697762238810014652369838390363044915123e-70,   +1.5406875080282376714349694414926716059454e-69,   +3.1325020795549797671060805859022924674497e-70,   +8.0119611745872818381933967248526777438823e-70,   +7.5773043988138833196045684279895897969070e-70,   +1.5510548831922796381847046533920374109084e-69,   +9.1077960672394470733952088599011298252860e-70,   +3.6831988251347789435942678676158779371550e-70,   +3.5342236926721681594413688168144672842332e-70,   +1.0239079167258287314208654822811058391656e-69,   +1.3224762932776177706635195006971559510602e-69,   +3.2953227806797607666446380491668734747629e-70,   +5.4221987503206652359142712243076934393123e-70,   +6.3468915409907934407594593465592471586633e-01,   +2.0996881271188727522355064649126669625446e-70,   +2.1375890162964119244896246639095391564934e-69,   +3.9065382039514618815604824524992291759772e-70,   +6.1864810086374623287099754340731287028577e-70,   +1.4525697240502906851426834124766217355064e-69,   +6.6815434764801322116425844410490718484992e-70,   +3.6163460761526172205273450537102362998197e-70,   +3.4042077269286678325792149053373487688016e-70,   +3.9170113493860163558385382407993976556532e-70,   +7.9725457494888506335088222183372180259627e-70,   +1.4768175538727956264864424131998241930729e-01,   +4.8724961440235560172201421372772181660053e-70,   +7.1896666161795713896652535059855768851410e-70,   +1.0628431074591484916931687999981000231742e-69,   +4.9026760816242224551240476931185897803242e-02,   +5.6253046544973035610341500418230896539888e-70,   +2.9458510969712634130284376741357709226936e-69,   +3.4309111204418909489875586100544213248199e-70,   +3.0853036204494855196393678437489886940463e-70,   +3.7575283062849738694343394340599746868086e-70,   +1.9527778316339517073685558976629335842140e-69}
xMat = 
{
{ {   +9.7410534328409777354112305062043649360136e-19,   +9.1641767272940781261305417796576076556971e-19,   -1.2579108168602054469057816715118501546245e-18,   -1.6635224352224350330316708103424198047478e-18 },
  {   +9.1641767272940781261305417796576076556971e-19,   +8.6214633425519579523590443614329931349582e-19,   -1.1834158504887412307174797510996687864979e-18,   -1.5650066690734557089783731868389667886618e-18 },
  {   -1.2579108168602054469057816715118501546245e-18,   -1.1834158504887412307174797510996687864979e-18,   +1.6244029807281531951019329009523401424304e-18,   +2.1481894948867307476563292048443449849637e-18 },
  {   -1.6635224352224350330316708103424198047478e-18,   -1.5650066690734557089783731868389667886618e-18,   +2.1481894948867307476563292048443449849637e-18,   +2.8408702524499915888106646791340520201326e-18 }   }
{ {   +1.2521925153232338453912907448899850521963e-18,   -1.5881807624628025623545205955513018939946e-18,   -1.3622056272839313033783595419582015264305e-19,   -3.8662645911133512531484183841168471002412e-20 },
  {   -1.5881807624628025623545205955513018939946e-18,   +2.9078103415326846748703441520821524395590e-18,   +8.0307921306766357513537442568454624246091e-19,   +6.4628758783218685320108914176125594352106e-20 },
  {   -1.3622056272839313033783595419582015264305e-19,   +8.0307921306766357513537442568454624246091e-19,   +1.5286816802225756678169208067364973399940e-18,   -7.9330605209037313068861960101629492144706e-19 },
  {   -3.8662645911133512531484183841168471002412e-20,   +6.4628758783218685320108914176125594352106e-20,   -7.9330605209037313068861960101629492144706e-19,   +6.1284037363571841540311739499573817990832e-19 }   }
{   +2.7121614649563596560648545835932820075403e-70,   +6.4289621745678062936861875810695452136949e-70,   +7.5877275398918075083459312327350927907579e-70,   +8.4189760077995203982800421314686468175767e-70,   +4.9189426159144244600694971950522307391420e-70,   +5.5733682090225797574907908422546526773489e-70,   +4.3266144477875286306320393875123482050540e-69,   +6.2172003130822183517077523069639542005571e-70,   +5.8832897694403314088458788670705957008938e-70,   +1.5450120082655887011143720499866942210590e-69,   +2.4318394818365273809802762030589798853542e-70,   +5.7618855150672495808394636452654981405217e-70,   +4.2517083287642817747119437201370192278328e-70,   +5.8719515320235579744351732140723831333321e-70,   +1.8787391882522213265305198486709523981929e-69,   +3.5131486654022846865886397861923900519470e-70,   +3.3226357193959994356175731240747848494999e-70,   +1.6860232969739886872416934709290696702314e-01,   +5.4152321475196628865301592426589625270724e-70,   +3.5697762238810014652369838390363044915123e-70,   +1.5406875080282376714349694414926716059454e-69,   +3.1325020795549797671060805859022924674497e-70,   +8.0119611745872818381933967248526777438823e-70,   +7.5773043988138833196045684279895897969070e-70,   +1.5510548831922796381847046533920374109084e-69,   +9.1077960672394470733952088599011298252860e-70,   +3.6831988251347789435942678676158779371550e-70,   +3.5342236926721681594413688168144672842332e-70,   +1.0239079167258287314208654822811058391656e-69,   +1.3224762932776177706635195006971559510602e-69,   +3.2953227806797607666446380491668734747629e-70,   +5.4221987503206652359142712243076934393123e-70,   +6.3468915409907934407594593465592471586633e-01,   +2.0996881271188727522355064649126669625446e-70,   +2.1375890162964119244896246639095391564934e-69,   +3.9065382039514618815604824524992291759772e-70,   +6.1864810086374623287099754340731287028577e-70,   +1.4525697240502906851426834124766217355064e-69,   +6.6815434764801322116425844410490718484992e-70,   +3.6163460761526172205273450537102362998197e-70,   +3.4042077269286678325792149053373487688016e-70,   +3.9170113493860163558385382407993976556532e-70,   +7.9725457494888506335088222183372180259627e-70,   +1.4768175538727956264864424131998241930729e-01,   +4.8724961440235560172201421372772181660053e-70,   +7.1896666161795713896652535059855768851410e-70,   +1.0628431074591484916931687999981000231742e-69,   +4.9026760816242224551240476931185897803242e-02,   +5.6253046544973035610341500418230896539888e-70,   +2.9458510969712634130284376741357709226936e-69,   +3.4309111204418909489875586100544213248199e-70,   +3.0853036204494855196393678437489886940463e-70,   +3.7575283062849738694343394340599746868086e-70,   +1.9527778316339517073685558976629335842140e-69}
{   +5.6643676773646336799265566990516455628457e-87}
}
yMat = 
{
{ {   +1.6908350416492460158102073391953062453920e+00,   -2.9085584385163439554554438187960384919394e-01,   +3.9924013145478158739406704592396814672927e-01,   +5.2797456450363866993645334982595023240539e-01 },
  {   -2.9085584385163439554554438187960384919394e-01,   +1.7263689832316987215469451141148250156303e+00,   +3.7559665866781680521272328465446604241165e-01,   +4.9670728633056447930201267281463437258027e-01 },
  {   +3.9924013145478158739406704592396814672927e-01,   +3.7559665866781680521272328465446604241165e-01,   +1.4844413046862930183793897686458537769311e+00,   -6.8179988981179987202527980243423174149853e-01 },
  {   +5.2797456450363866993645334982595023240539e-01,   +4.9670728633056447930201267281463437258027e-01,   -6.8179988981179987202527980243423174149853e-01,   +1.0983546704327622442634577780440149620466e+00 }   }
{ {   +3.0916495835075398418979266080469375460802e-01,   +2.9085584385163439554554438187960384919394e-01,   -3.9924013145478158739406704592396814672927e-01,   -5.2797456450363866993645334982595023240539e-01 },
  {   +2.9085584385163439554554438187960384919394e-01,   +2.7363101676830127845305488588517498436966e-01,   -3.7559665866781680521272328465446604241165e-01,   -4.9670728633056447930201267281463437258027e-01 },
  {   -3.9924013145478158739406704592396814672927e-01,   -3.7559665866781680521272328465446604241165e-01,   +5.1555869531370698162061023135414622306893e-01,   +6.8179988981179987202527980243423174149853e-01 },
  {   -5.2797456450363866993645334982595023240539e-01,   -4.9670728633056447930201267281463437258027e-01,   +6.8179988981179987202527980243423174149853e-01,   +9.0164532956723775573654222195598503795339e-01 }   }
{   +8.3540272222778990150731358433172874592616e-17,   +3.5242812283277598805879127938546758871245e-17,   +2.9860680408381670423297649184952236304721e-17,   +2.6912383036212677839789996684356288511946e-17,   +4.6061669099684227397682660118039665075268e-17,   +4.0653102145268186227331652173763095173834e-17,   +5.2367667567524374920884659474674576420419e-18,   +3.6443205250734382413251303048580478305558e-17,   +3.8511566822951006955608301534703710667794e-17,   +1.4664915604697163441862150610332482144516e-17,   +9.3170091524081976789757306849415469056038e-17,   +3.9323014402506900529813390554809317430315e-17,   +5.3290275243418946011073173273706009478185e-17,   +3.8585929372701153921661982940688998218882e-17,   +1.2059934051057204031872679541215882798329e-17,   +6.4493344482090302094904231273975418205324e-17,   +6.8191257251569216246217159094878113890185e-17,   +1.3438409036294642178385125093171531979874e-85,   +4.1840257429843204307789968591709574263192e-17,   +6.3470282977081707618392472146438692159513e-17,   +1.4706078027760103841365166015019951597041e-17,   +7.2330265500342070861268712939951544978196e-17,   +2.8279556298056678061502299339926512976225e-17,   +2.9901755976710176461075011307404794270083e-17,   +1.4607781423457054860279541603713308737308e-17,   +2.4877007063165352662488802989845187646778e-17,   +6.1515741574525051446919353038277169804508e-17,   +6.4108762431864054528640273915887189688655e-17,   +2.2128426140029067941165737354035530962004e-17,   +1.7132610107742942795315697772410951178192e-17,   +6.8756453365654033634479682670736574552380e-17,   +4.1786499818212283027056447967089689243765e-17,   +3.5698531419872896600756288767555089033670e-86,   +1.0790874328821593454733357061880068742129e-16,   +1.0599544878236174054398728953192036657838e-17,   +5.7998845849096040463391594161022136600520e-17,   +3.6624165948015599238045502575730737334748e-17,   +1.5598198375139815681124416508311041831270e-17,   +3.3910533979484923194210653875927433039139e-17,   +6.2652938165595915938407415943276484042619e-17,   +6.6557250693689239439218212966324252339101e-17,   +5.7843770896936633929726101420861274524479e-17,   +2.8419367440959732059200406976803078413401e-17,   +1.5342091953093154934085816043223512984973e-85,   +4.6500746311004155759335764977396304426601e-17,   +3.1513937876438295267388499589090286950025e-17,   +2.1317794273158419723253733324875359532808e-17,   +4.6214496597850438236520776527568096199864e-85,   +4.0277766451892343926936138609232851740754e-17,   +7.6913156719813515986251733534257706618565e-18,   +6.6039223734074233563922406343143940791924e-17,   +7.3436761812627239922082333656912257005155e-17,   +6.0298868997369502202093502262966810673428e-17,   +1.1602687383285329365213231718721244691594e-17}
{   +3.9999999999999999803884219823946656357804e+00}
}
    main loop time = 0.680000
        total time = 0.690000
  file   read time = 0.010000
